Timestamp,ID,Latitude,Longitude,Vibration
2026-05-07 12:25:47,SENS-JAKPUS,-6.1754,106.8272,6.0
2026-05-07 12:25:50,SENS-JAKSEL,-6.2615,106.8106,13.0
2026-05-07 12:25:54,SENS-JAKPUS,-6.1754,106.8272,15.0
2026-05-07 12:25:57,SENS-JAKSEL,-6.2615,106.8106,0.0
2026-05-07 12:26:01,SENS-JAKPUS,-6.1754,106.8272,7.0
2026-05-07 12:26:03,SENS-JAKSEL,-6.2615,106.8106,9.0
2026-05-07 12:26:07,SENS-JAKPUS,-6.1754,106.8272,19.0
2026-05-07 12:26:09,SENS-JAKSEL,-6.2615,106.8106,10.0
2026-05-07 12:26:13,SENS-JAKPUS,-6.1754,106.8272,7.0
2026-05-07 12:26:15,SENS-JAKSEL,-6.2615,106.8106,74.0
2026-05-07 12:26:19,SENS-JAKPUS,-6.1754,106.8272,9.0
2026-05-07 12:26:21,SENS-JAKSEL,-6.2615,106.8106,6.0
2026-05-07 12:26:25,SENS-JAKPUS,-6.1754,106.8272,8.0
2026-05-07 12:26:27,SENS-JAKSEL,-6.2615,106.8106,86.0
2026-05-07 12:26:31,SENS-JAKPUS,-6.1754,106.8272,94.0
2026-05-07 12:26:33,SENS-JAKSEL,-6.2615,106.8106,6.0
2026-05-07 12:26:37,SENS-JAKPUS,-6.1754,106.8272,12.0
2026-05-07 12:26:39,SENS-JAKSEL,-6.2615,106.8106,17.0
2026-05-07 12:26:43,SENS-JAKPUS,-6.1754,106.8272,15.0
2026-05-07 12:26:45,SENS-JAKSEL,-6.2615,106.8106,81.0
2026-05-07 12:26:50,SENS-JAKPUS,-6.1754,106.8272,1.0
2026-05-07 12:26:52,SENS-JAKSEL,-6.2615,106.8106,19.0
2026-05-07 12:26:56,SENS-JAKPUS,-6.1754,106.8272,6.0
2026-05-07 12:26:59,SENS-JAKSEL,-6.2615,106.8106,13.0
2026-05-07 12:27:03,SENS-JAKPUS,-6.1754,106.8272,19.0
